category,test_case,text_size,pattern_size,algorithm,time_ms,matches
edge,single_char_match,1,1,Naive,0.0032,1
edge,single_char_match,1,1,KMP,0.0014,1
edge,single_char_match,1,1,Rabin-Karp,0.0011,1
edge,single_char_match,1,1,Boyer-Moore,0.0179,1
edge,single_char_match,1,1,Z-Algorithm,0.0027,1
edge,single_char_no_match,1,1,Naive,0.0005,0
edge,single_char_no_match,1,1,KMP,0.0007,0
edge,single_char_no_match,1,1,Rabin-Karp,0.0004,0
edge,single_char_no_match,1,1,Boyer-Moore,0.0022,0
edge,single_char_no_match,1,1,Z-Algorithm,0.0016,0
edge,pattern_eq_text,5,5,Naive,0.0028,1
edge,pattern_eq_text,5,5,KMP,0.0015,1
edge,pattern_eq_text,5,5,Rabin-Karp,0.0013,1
edge,pattern_eq_text,5,5,Boyer-Moore,0.0035,1
edge,pattern_eq_text,5,5,Z-Algorithm,0.0023,1
edge,pattern_longer,2,5,Naive,0.0003,0
edge,pattern_longer,2,5,KMP,0.0002,0
edge,pattern_longer,2,5,Rabin-Karp,0.0002,0
edge,pattern_longer,2,5,Boyer-Moore,0.0002,0
edge,pattern_longer,2,5,Z-Algorithm,0.0002,0
edge,empty_pattern_guard,6,1,Naive,0.0002,0
edge,empty_pattern_guard,6,1,KMP,0.0011,0
edge,empty_pattern_guard,6,1,Rabin-Karp,0.0003,0
edge,empty_pattern_guard,6,1,Boyer-Moore,0.0024,0
edge,empty_pattern_guard,6,1,Z-Algorithm,0.0019,0
edge,one_char_text,1,2,Naive,0.0002,0
edge,one_char_text,1,2,KMP,0.0003,0
edge,one_char_text,1,2,Rabin-Karp,0.0003,0
edge,one_char_text,1,2,Boyer-Moore,0.0003,0
edge,one_char_text,1,2,Z-Algorithm,0.0002,0
short,short_n100_m5,100,5,Naive,0.0025,1
short,short_n100_m5,100,5,KMP,0.003,1
short,short_n100_m5,100,5,Rabin-Karp,0.0058,1
short,short_n100_m5,100,5,Boyer-Moore,0.0053,1
short,short_n100_m5,100,5,Z-Algorithm,0.0048,1
short,short_n500_m10,500,10,Naive,0.0076,1
short,short_n500_m10,500,10,KMP,0.0175,1
short,short_n500_m10,500,10,Rabin-Karp,0.0059,1
short,short_n500_m10,500,10,Boyer-Moore,0.0259,1
short,short_n500_m10,500,10,Z-Algorithm,0.0088,1
short,short_planted,500,8,Naive,0.0066,1
short,short_planted,500,8,KMP,0.0307,1
short,short_planted,500,8,Rabin-Karp,0.0059,1
short,short_planted,500,8,Boyer-Moore,0.0088,1
short,short_planted,500,8,Z-Algorithm,0.0325,1
medium,med_n1k_m10,1000,10,Naive,0.009,1
medium,med_n1k_m10,1000,10,KMP,0.0363,1
medium,med_n1k_m10,1000,10,Rabin-Karp,0.0099,1
medium,med_n1k_m10,1000,10,Boyer-Moore,0.0554,1
medium,med_n1k_m10,1000,10,Z-Algorithm,1.3833,1
medium,med_n10k_m20,10000,20,Naive,0.1023,1
medium,med_n10k_m20,10000,20,KMP,0.3083,1
medium,med_n10k_m20,10000,20,Rabin-Karp,0.145,1
medium,med_n10k_m20,10000,20,Boyer-Moore,0.1998,1
medium,med_n10k_m20,10000,20,Z-Algorithm,0.1663,1
medium,med_n50k_m50,50000,50,Naive,0.5802,1
medium,med_n50k_m50,50000,50,KMP,5.4889,1
medium,med_n50k_m50,50000,50,Rabin-Karp,0.7441,1
medium,med_n50k_m50,50000,50,Boyer-Moore,0.6121,1
medium,med_n50k_m50,50000,50,Z-Algorithm,1.2555,1
medium,med_n100k_m100,100000,100,Naive,0.9297,1
medium,med_n100k_m100,100000,100,KMP,1.4656,1
medium,med_n100k_m100,100000,100,Rabin-Karp,1.1539,1
medium,med_n100k_m100,100000,100,Boyer-Moore,2.0736,1
medium,med_n100k_m100,100000,100,Z-Algorithm,1.1155,1
long,long_n500k_m50,500000,50,Naive,5.222,1
long,long_n500k_m50,500000,50,KMP,12.6733,1
long,long_n500k_m50,500000,50,Rabin-Karp,7.0343,1
long,long_n500k_m50,500000,50,Boyer-Moore,8.7613,1
long,long_n500k_m50,500000,50,Z-Algorithm,8.8348,1
long,long_n1m_m100,1000000,100,Naive,6.2757,1
long,long_n1m_m100,1000000,100,KMP,17.9005,1
long,long_n1m_m100,1000000,100,Rabin-Karp,16.7121,1
long,long_n1m_m100,1000000,100,Boyer-Moore,16.7165,1
long,long_n1m_m100,1000000,100,Z-Algorithm,17.5878,1
long,long_n1m_m500,1000000,500,Naive,10.4705,1
long,long_n1m_m500,1000000,500,KMP,8.7494,1
long,long_n1m_m500,1000000,500,Rabin-Karp,17.8993,1
long,long_n1m_m500,1000000,500,Boyer-Moore,19.8983,1
long,long_n1m_m500,1000000,500,Z-Algorithm,14.424,1
pattern_len,long_text_pat1,500000,1,Naive,10.2342,124733
pattern_len,long_text_pat1,500000,1,KMP,15.6448,124733
pattern_len,long_text_pat1,500000,1,Rabin-Karp,21.4766,124733
pattern_len,long_text_pat1,500000,1,Boyer-Moore,14.8096,124733
pattern_len,long_text_pat1,500000,1,Z-Algorithm,12.4252,124733
pattern_len,long_text_pat3,500000,3,Naive,3.8136,7813
pattern_len,long_text_pat3,500000,3,KMP,5.7884,7813
pattern_len,long_text_pat3,500000,3,Rabin-Karp,4.1371,7813
pattern_len,long_text_pat3,500000,3,Boyer-Moore,8.5223,7813
pattern_len,long_text_pat3,500000,3,Z-Algorithm,8.6935,7813
pattern_len,long_text_pat10,500000,10,Naive,7.0705,1
pattern_len,long_text_pat10,500000,10,KMP,6.619,1
pattern_len,long_text_pat10,500000,10,Rabin-Karp,4.6588,1
pattern_len,long_text_pat10,500000,10,Boyer-Moore,18.7347,1
pattern_len,long_text_pat10,500000,10,Z-Algorithm,6.526,1
pattern_len,long_text_pat50,500000,50,Naive,3.0376,1
pattern_len,long_text_pat50,500000,50,KMP,11.3756,1
pattern_len,long_text_pat50,500000,50,Rabin-Karp,12.2604,1
pattern_len,long_text_pat50,500000,50,Boyer-Moore,7.4917,1
pattern_len,long_text_pat50,500000,50,Z-Algorithm,10.6914,1
pattern_len,long_text_pat200,500000,200,Naive,4.5087,1
pattern_len,long_text_pat200,500000,200,KMP,6.437,1
pattern_len,long_text_pat200,500000,200,Rabin-Karp,6.0436,1
pattern_len,long_text_pat200,500000,200,Boyer-Moore,9.8784,1
pattern_len,long_text_pat200,500000,200,Z-Algorithm,7.201,1
alphabet,binary_n10k_m10,10000,10,Naive,0.1744,11
alphabet,binary_n10k_m10,10000,10,KMP,0.153,11
alphabet,binary_n10k_m10,10000,10,Rabin-Karp,0.1441,11
alphabet,binary_n10k_m10,10000,10,Boyer-Moore,0.4353,11
alphabet,binary_n10k_m10,10000,10,Z-Algorithm,0.1549,11
alphabet,binary_n100k_m50,100000,50,Naive,1.202,1
alphabet,binary_n100k_m50,100000,50,KMP,1.2229,1
alphabet,binary_n100k_m50,100000,50,Rabin-Karp,1.138,1
alphabet,binary_n100k_m50,100000,50,Boyer-Moore,2.2029,1
alphabet,binary_n100k_m50,100000,50,Z-Algorithm,4.0463,1
alphabet,binary_n500k_m100,500000,100,Naive,4.2622,1
alphabet,binary_n500k_m100,500000,100,KMP,7.5179,1
alphabet,binary_n500k_m100,500000,100,Rabin-Karp,5.777,1
alphabet,binary_n500k_m100,500000,100,Boyer-Moore,35.6111,1
